person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
23,65000,rent,2.0,education,a,28000,7.9,1,0.43,n,2
26,85000,rent,2.0,venture,a,28000,7.49,1,0.33,n,3
26,12000,own,2.0,education,a,6100,7.51,1,0.51,n,3
22,88000,rent,6.0,venture,b,28000,9.91,1,0.32,n,3
21,12000,own,0.0,personal,c,4200,13.48,1,0.35,y,4
22,12000,own,6.0,debtconsolidation,a,4750,7.14,1,0.4,n,2
24,83004,rent,0.0,venture,d,28000,15.99,1,0.34,y,4
24,250000,rent,2.0,education,c,18000,12.98,0,0.07,y,3
25,100000,rent,5.0,debtconsolidation,b,28000,12.69,0,0.28,n,3
26,110000,rent,10.0,education,a,28000,8.9,0,0.25,n,2
26,12000,own,0.0,debtconsolidation,a,2700,10.99,1,0.23,n,4
22,108000,rent,6.0,education,b,28000,10.99,1,0.26,n,4
23,151200,rent,7.0,debtconsolidation,b,28000,11.11,0,0.19,n,2
24,69000,rent,2.0,homeimprovement,a,27600,10.99,1,0.4,n,2
21,12000,mortgage,5.0,debtconsolidation,e,3250,15.68,1,0.27,y,3
22,70000,rent,4.0,education,c,27500,13.06,1,0.39,y,3
22,240000,own,6.0,personal,b,25000,10.99,0,0.1,n,2
26,73200,rent,5.0,venture,d,27050,15.62,1,0.37,y,2
24,83000,rent,5.0,personal,c,27000,13.49,1,0.33,y,2
24,73399,rent,0.0,venture,d,27000,10.99,1,0.37,n,3
23,62500,rent,7.0,medical,b,26000,11.71,1,0.42,n,2
23,120000,rent,1.0,education,b,25600,12.69,0,0.21,n,3
24,12360,own,2.0,medical,c,1600,13.57,0,0.13,n,3
22,60000,rent,0.0,venture,b,25475,10.99,1,0.42,n,3
25,234000,mortgage,3.0,medical,c,20000,14.27,0,0.09,y,4
24,234000,own,8.0,homeimprovement,b,20000,8.88,0,0.09,n,4
26,234000,mortgage,10.0,homeimprovement,b,21600,12.18,0,0.09,n,3
25,221004,mortgage,6.0,debtconsolidation,d,11900,14.42,1,0.05,y,3
26,232500,mortgage,0.0,medical,c,25000,14.17,0,0.11,y,2
25,230000,mortgage,5.0,medical,c,35000,13.99,0,0.15,n,4
23,83000,rent,7.0,education,b,25300,10.99,1,0.3,n,3
22,12600,mortgage,4.0,personal,a,2000,5.42,1,0.16,n,4
25,12600,own,3.0,personal,c,1750,13.61,0,0.14,n,3
21,42500,rent,3.0,education,c,25000,12.73,1,0.59,y,3
24,41000,rent,2.0,homeimprovement,d,25000,10.99,1,0.61,n,3
25,12816,own,0.0,debtconsolidation,c,3000,12.87,1,0.23,y,4
24,12960,mortgage,1.0,homeimprovement,b,3650,9.91,1,0.28,n,3
26,226000,mortgage,4.0,homeimprovement,b,20000,11.49,0,0.09,n,4
25,225000,mortgage,0.0,homeimprovement,e,30000,19.91,0,0.13,y,2
26,213000,mortgage,6.0,education,b,35000,10.65,1,0.16,n,2
24,225000,rent,0.0,medical,b,6000,10.99,0,0.03,n,4
24,12960,mortgage,0.0,debtconsolidation,b,4500,11.83,1,0.35,n,4
23,12996,own,0.0,debtconsolidation,c,2400,13.49,1,0.18,y,2
22,42000,rent,6.0,medical,d,25000,14.59,1,0.6,y,2
26,48000,rent,2.0,education,b,25000,9.64,1,0.52,n,4
25,12996,own,1.0,medical,d,3600,14.59,1,0.28,n,3
22,12996,own,1.0,education,b,4750,10.99,1,0.37,n,3
25,42360,rent,1.0,education,e,25000,16.35,1,0.59,y,3
21,49000,rent,4.0,education,b,25000,10.99,1,0.51,n,2
25,225000,mortgage,0.0,venture,f,25000,18.67,0,0.11,n,2
26,225000,rent,1.0,education,a,3000,9.32,0,0.01,n,4
23,225000,rent,8.0,debtconsolidation,a,7500,8.63,0,0.03,n,2
26,225000,mortgage,2.0,venture,b,25000,10.08,0,0.11,n,2
22,49464,rent,5.0,personal,b,25000,11.83,1,0.51,n,3
23,50000,rent,1.0,debtconsolidation,a,25000,7.9,1,0.5,n,3
25,50000,rent,4.0,homeimprovement,a,25000,5.99,1,0.5,n,2
24,44000,rent,2.0,debtconsolidation,d,25000,15.33,1,0.57,n,2
23,50000,rent,1.0,venture,b,25000,11.83,1,0.5,n,4
22,50004,rent,0.0,venture,b,25000,10.36,1,0.5,n,2
22,50004,rent,3.0,venture,c,25000,12.23,1,0.5,n,3
22,52000,rent,2.0,education,b,25000,11.11,1,0.48,n,4
23,13200,own,3.0,debtconsolidation,a,4950,7.9,1,0.38,n,4
24,220000,mortgage,1.0,education,b,25000,11.58,0,0.11,n,2
23,216000,mortgage,5.0,debtconsolidation,a,21000,8.9,0,0.1,n,3
25,216000,mortgage,2.0,education,d,25000,16.07,0,0.12,n,3
26,216000,mortgage,10.0,education,c,20000,14.22,0,0.09,y,2
23,215000,mortgage,7.0,medical,c,35000,14.79,0,0.16,y,3
26,215000,mortgage,11.0,education,a,12000,7.88,0,0.06,n,2
23,52000,rent,1.0,personal,c,25000,13.22,1,0.48,n,2
26,46000,rent,2.0,debtconsolidation,d,25000,11.86,1,0.54,n,4
22,53000,rent,5.0,education,c,25000,13.43,1,0.47,y,4
26,47000,rent,0.0,homeimprovement,d,25000,15.28,1,0.53,y,2
23,47000,rent,1.0,venture,e,25000,17.93,1,0.53,n,2
23,13200,mortgage,2.0,education,b,1400,9.25,0,0.11,n,4
21,13200,own,0.0,venture,c,4500,12.98,1,0.34,n,4
22,210000,mortgage,6.0,venture,b,16000,10.62,0,0.08,n,4
26,210000,own,10.0,personal,b,22000,11.83,0,0.1,n,4
26,48000,rent,5.0,venture,f,25000,18.43,1,0.52,n,2
22,54996,rent,6.0,education,b,25000,10.99,1,0.45,n,4
24,55000,rent,4.0,homeimprovement,d,25000,10.99,1,0.45,y,4
23,55000,rent,4.0,education,b,25000,11.36,1,0.45,n,3
23,55000,rent,4.0,education,d,25000,15.65,1,0.45,y,3
24,55164,rent,8.0,personal,c,25000,13.22,1,0.45,y,4
26,56000,rent,4.0,debtconsolidation,c,25000,12.87,1,0.45,n,2
24,203500,own,8.0,medical,c,20000,13.04,0,0.1,n,3
23,190000,mortgage,5.0,education,f,22000,17.58,1,0.12,y,3
23,13920,own,2.0,personal,e,7750,17.04,1,0.56,n,4
24,60000,rent,0.0,personal,b,25000,10.99,1,0.42,n,3
24,60000,rent,2.0,personal,b,25000,11.11,1,0.42,n,3
26,54000,rent,7.0,debtconsolidation,d,25000,14.83,1,0.46,y,2
23,14000,own,2.0,debtconsolidation,d,4000,10.99,1,0.29,n,3
24,200000,rent,8.0,medical,b,12000,12.69,0,0.06,n,2
24,200000,mortgage,8.0,homeimprovement,c,12000,13.49,0,0.06,n,2
21,200000,mortgage,5.0,education,c,16000,14.65,0,0.08,n,4
25,54000,rent,3.0,homeimprovement,e,25000,16.82,1,0.46,n,4
23,60000,rent,3.0,personal,c,25000,12.73,1,0.42,n,3
23,60000,rent,7.0,personal,b,25000,10.25,1,0.42,n,4
21,60000,rent,6.0,education,b,25000,10.99,1,0.42,n,4
25,61959,rent,9.0,medical,c,25000,12.73,1,0.4,n,2
22,56400,rent,2.0,homeimprovement,d,25000,14.96,1,0.44,y,3
23,200000,mortgage,7.0,education,a,28000,10.99,0,0.14,n,2
21,200000,mortgage,2.0,debtconsolidation,c,25000,13.99,0,0.13,n,2
24,200000,mortgage,3.0,venture,a,24000,7.49,0,0.12,n,4
26,200000,mortgage,4.0,education,c,15000,14.79,0,0.07,n,3
25,200000,mortgage,2.0,debtconsolidation,b,15500,11.99,0,0.08,n,2
24,200000,rent,8.0,education,a,10000,8.49,0,0.05,n,4
24,66000,rent,3.0,education,b,25000,9.91,1,0.38,n,2
22,66000,rent,6.0,education,c,25000,13.06,1,0.38,y,3
22,200000,mortgage,6.0,debtconsolidation,a,9000,6.17,0,0.04,n,4
25,200000,rent,5.0,education,d,18000,16.32,0,0.09,n,3
25,200000,mortgage,2.0,venture,b,12000,10.38,0,0.06,n,2
25,200000,mortgage,9.0,personal,c,23050,14.35,0,0.12,n,3
24,200000,mortgage,8.0,debtconsolidation,b,20000,10.99,0,0.1,n,3
24,60000,rent,2.0,debtconsolidation,e,25000,10.99,1,0.42,y,2
21,14400,own,0.0,homeimprovement,b,3000,10.99,1,0.21,n,4
26,66996,rent,10.0,personal,d,25000,15.21,1,0.37,y,2
23,67000,rent,3.0,education,a,25000,7.9,1,0.37,n,4
24,67000,rent,2.0,venture,b,25000,10.99,1,0.37,n,3
24,68000,rent,5.0,personal,d,25000,14.09,1,0.37,y,3
25,69000,rent,9.0,personal,d,25000,17.49,1,0.36,n,2
25,200000,mortgage,0.0,education,b,12000,11.48,0,0.06,n,3
26,188000,mortgage,10.0,venture,e,20000,17.74,1,0.11,n,2
26,200000,mortgage,4.0,personal,c,3000,13.92,0,0.01,n,3
25,69996,rent,9.0,education,d,25000,15.21,1,0.36,n,3
22,14400,own,2.0,medical,b,4000,10.99,1,0.28,n,3
24,70000,rent,3.0,education,b,25000,11.86,1,0.36,n,4
24,14400,own,5.0,personal,a,6000,7.49,1,0.42,n,3
24,56100,rent,7.0,medical,d,25000,16.49,1,0.38,n,4
25,66000,rent,9.0,venture,d,25000,15.33,1,0.38,y,2
26,66000,rent,3.0,homeimprovement,b,25000,11.58,1,0.38,n,4
25,14400,own,7.0,education,a,5375,5.79,1,0.37,n,2
25,72612,rent,9.0,medical,c,25000,13.11,1,0.34,n,2
23,74000,rent,3.0,medical,b,25000,10.36,1,0.34,n,3
25,75000,rent,9.0,debtconsolidation,b,25000,10.36,1,0.33,n,2
24,192000,rent,0.0,medical,c,22000,10.99,0,0.11,y,2
25,191000,mortgage,1.0,medical,b,10000,12.53,0,0.05,n,4
26,190300,mortgage,5.0,personal,a,15000,10.99,0,0.08,n,3
22,190000,mortgage,3.0,venture,c,10000,10.99,0,0.05,n,3
24,75000,rent,4.0,education,b,25000,10.25,1,0.33,n,4
22,71000,rent,1.0,education,d,25000,15.95,1,0.35,y,4
26,190000,mortgage,3.0,venture,b,20000,12.18,0,0.11,n,4
23,189996,own,0.0,personal,b,24000,11.83,0,0.13,n,3
23,78000,rent,7.0,debtconsolidation,c,25000,10.99,1,0.32,y,2
23,78000,rent,1.0,venture,b,25000,10.62,1,0.32,n,3
23,78504,rent,7.0,venture,b,25000,10.74,1,0.32,n,3
25,186000,own,9.0,venture,b,10000,10.25,0,0.05,n,4
24,185000,mortgage,4.0,education,b,35000,12.42,0,0.19,n,2
25,185000,rent,6.0,venture,c,15000,15.27,0,0.08,n,2
24,62050,rent,8.0,medical,d,25000,15.33,1,0.34,y,2
23,79416,rent,7.0,venture,d,25000,15.21,1,0.31,y,2
21,14400,own,4.0,venture,c,6250,14.72,1,0.43,n,2
24,79631,rent,8.0,personal,d,25000,15.7,1,0.31,y,2
24,79632,rent,0.0,education,c,25000,13.35,1,0.31,n,4
21,14400,mortgage,0.0,medical,c,1500,10.99,0,0.1,n,4
24,80000,rent,6.0,education,a,25000,6.62,1,0.31,n,2
26,80000,rent,5.0,debtconsolidation,c,25000,13.61,1,0.31,n,4
22,185000,rent,4.0,medical,b,25000,11.36,0,0.14,n,2
26,185000,own,10.0,personal,a,5000,7.68,0,0.03,n,2
24,184992,rent,7.0,homeimprovement,d,22000,14.46,0,0.12,y,4
23,184000,own,5.0,education,b,2500,11.83,0,0.01,n,2
24,172000,mortgage,6.0,debtconsolidation,c,20000,13.47,1,0.12,y,4
24,183000,mortgage,2.0,medical,b,20000,11.49,0,0.11,n,3
22,183000,mortgage,3.0,education,a,1000,10.99,0,0.01,n,2
25,182952,mortgage,9.0,personal,a,15000,6.03,0,0.08,n,3
23,74004,rent,7.0,debtconsolidation,e,25000,16.35,1,0.34,n,4
26,74004,rent,10.0,debtconsolidation,d,25000,10.99,1,0.34,y,4
25,81000,rent,5.0,debtconsolidation,a,25000,7.29,1,0.31,n,3
23,81600,rent,1.0,medical,b,25000,11.36,1,0.31,n,3
24,82000,rent,8.0,venture,b,25000,10.25,0,0.3,n,2
24,83000,rent,5.0,education,b,25000,11.12,0,0.3,n,3
24,83000,rent,5.0,personal,d,25000,12.92,0,0.3,y,3
24,180000,rent,8.0,education,e,18000,18.64,0,0.1,y,4
23,180000,mortgage,8.0,personal,a,28000,7.51,0,0.16,n,3
23,14400,own,2.0,homeimprovement,e,4000,16.7,1,0.28,n,2
22,14400,own,0.0,personal,b,2100,11.14,0,0.15,n,4
22,84500,rent,6.0,personal,f,25000,18.3,0,0.3,n,4
24,85000,rent,5.0,medical,b,25000,10.62,0,0.29,n,4
24,180000,mortgage,7.0,venture,b,14000,11.99,0,0.08,n,2
26,180000,mortgage,2.0,venture,b,12000,9.63,0,0.07,n,4
25,142800,mortgage,9.0,medical,f,10000,18.25,1,0.06,n,4
23,14664,mortgage,0.0,debtconsolidation,c,6000,10.99,1,0.41,n,4
24,87000,rent,8.0,homeimprovement,d,25000,14.84,0,0.29,n,3
24,75000,rent,0.0,venture,e,25000,14.7,1,0.33,y,3
23,76000,rent,7.0,debtconsolidation,d,25000,16.02,1,0.33,n,4
23,66215,rent,1.0,medical,d,25000,15.37,1,0.32,y,2
25,90000,rent,9.0,medical,b,25000,10.99,0,0.28,n,4
21,15000,own,0.0,homeimprovement,a,6200,7.9,1,0.41,n,2
26,180000,own,2.0,personal,b,25000,10.99,0,0.14,n,4
24,180000,own,8.0,education,b,21000,11.48,0,0.12,n,3
25,180000,own,9.0,medical,c,20000,14.26,0,0.11,y,4
26,180000,own,0.0,homeimprovement,a,10000,8.0,0,0.06,n,4
25,180000,mortgage,3.0,venture,b,9950,11.26,0,0.06,n,2
23,15000,own,7.0,medical,b,4475,10.99,1,0.3,n,4
23,78000,rent,2.0,venture,d,25000,16.32,1,0.32,y,3
25,66300,rent,3.0,medical,e,25000,17.93,1,0.32,y,4
23,90000,rent,0.0,debtconsolidation,b,25000,11.36,0,0.28,n,3
24,79000,rent,9.0,debtconsolidation,d,25000,14.96,1,0.32,y,4
24,91800,rent,4.0,personal,c,25000,13.43,0,0.27,y,3
25,92000,rent,6.0,homeimprovement,b,25000,12.69,0,0.27,n,3
24,92000,rent,1.0,venture,c,25000,12.73,0,0.27,y,4
23,93600,rent,3.0,venture,d,25000,15.21,0,0.27,n,4
23,15000,mortgage,1.0,medical,c,1750,12.68,0,0.12,y,3
23,70550,rent,3.0,medical,f,25000,19.04,1,0.3,y,4
25,83800,rent,2.0,debtconsolidation,d,25000,15.95,1,0.3,y,3
26,175000,mortgage,3.0,venture,a,2600,8.9,0,0.01,n,4
25,175000,mortgage,10.0,homeimprovement,a,8000,7.9,0,0.05,n,2
22,175000,mortgage,6.0,education,b,18000,10.99,0,0.1,n,2
23,175000,mortgage,8.0,personal,b,21000,11.99,0,0.12,n,3
23,15000,own,4.0,debtconsolidation,c,4000,13.98,1,0.27,n,4
23,15000,own,4.0,venture,b,4600,10.99,1,0.31,n,2
22,88000,rent,6.0,debtconsolidation,d,25000,15.58,1,0.28,y,2
25,74800,rent,2.0,medical,b,25000,10.99,1,0.28,n,2
25,88000,rent,0.0,venture,d,25000,14.96,1,0.28,n,4
25,15000,own,2.0,homeimprovement,d,1750,15.31,0,0.12,y,4
26,88000,rent,2.0,venture,d,25000,15.65,1,0.28,n,3
25,100000,rent,1.0,venture,b,25000,9.33,0,0.25,n,4
23,15000,mortgage,0.0,personal,c,3600,13.47,1,0.24,n,4
24,102400,rent,8.0,personal,b,25000,10.36,0,0.24,n,3
24,92000,rent,1.0,homeimprovement,e,25000,16.77,1,0.27,y,4
23,93000,rent,0.0,debtconsolidation,d,25000,14.59,1,0.27,y,2
22,175000,rent,6.0,venture,c,3500,11.91,0,0.02,y,2
23,175000,mortgage,3.0,education,a,7200,8.38,0,0.04,n,3
25,174708,rent,9.0,venture,b,9000,10.59,0,0.05,n,3
25,174000,mortgage,2.0,debtconsolidation,c,8800,14.27,0,0.05,n,3
26,174000,rent,8.0,debtconsolidation,b,12000,12.53,0,0.07,n,4
25,162000,mortgage,5.0,debtconsolidation,e,25000,16.0,1,0.15,y,3
26,173467,mortgage,10.0,venture,b,10000,11.71,0,0.06,n,4
21,15000,own,0.0,homeimprovement,c,3175,11.54,1,0.21,y,3
25,96000,rent,2.0,homeimprovement,e,25000,15.68,1,0.26,y,4
21,15120,mortgage,0.0,education,b,1500,10.59,0,0.1,n,2
24,97908,rent,8.0,homeimprovement,d,25000,12.61,1,0.26,y,2
26,110000,rent,3.0,personal,c,25000,10.99,0,0.23,y,2
23,15204,mortgage,7.0,personal,a,2800,8.49,1,0.18,n,3
25,159600,rent,0.0,personal,d,30000,17.27,1,0.19,y,4
24,171500,rent,6.0,debtconsolidation,a,18000,8.9,0,0.1,n,4
25,170004,mortgage,3.0,medical,b,10000,11.11,0,0.06,n,4
24,158004,rent,0.0,homeimprovement,d,25000,14.59,1,0.16,y,2
26,170000,rent,0.0,venture,b,13000,12.42,0,0.08,n,3
24,83300,rent,0.0,medical,d,25000,10.99,1,0.26,n,2
24,110000,rent,7.0,homeimprovement,d,25000,15.7,0,0.23,y,2
22,15360,own,7.0,homeimprovement,b,2500,12.53,1,0.16,n,3
25,134300,rent,3.0,medical,d,5000,16.49,1,0.03,n,2
25,170000,mortgage,2.0,education,a,20000,7.49,0,0.12,n,2
22,100580,rent,6.0,debtconsolidation,d,25000,14.96,1,0.25,y,2
25,113000,rent,7.0,medical,c,25000,12.73,0,0.22,y,4
24,120000,rent,8.0,education,b,25000,10.65,0,0.21,n,4
25,120000,rent,6.0,medical,b,25000,10.74,0,0.21,n,2
23,120000,rent,7.0,education,b,25000,9.99,0,0.21,n,2
24,91800,rent,5.0,medical,d,25000,15.33,1,0.23,y,2
21,15600,own,5.0,venture,a,1000,7.29,0,0.06,n,4
26,108000,rent,2.0,personal,d,25000,15.05,1,0.23,n,3
26,129996,rent,6.0,personal,b,25000,10.75,0,0.19,n,3
23,130000,rent,4.0,education,d,25000,16.02,0,0.19,y,2
23,130000,rent,7.0,venture,b,25000,11.49,0,0.19,n,4
25,170000,own,4.0,education,b,20000,12.53,0,0.12,n,4
26,170000,mortgage,0.0,venture,c,12000,13.57,0,0.07,y,2
22,169000,rent,1.0,personal,b,14000,11.14,0,0.08,n,3
26,168750,rent,10.0,medical,c,24250,12.87,0,0.14,y,3
23,168600,rent,3.0,education,b,20000,11.58,0,0.12,n,3
24,168288,rent,5.0,homeimprovement,b,1800,11.12,0,0.01,n,3
25,168000,mortgage,2.0,personal,b,35000,10.65,0,0.21,n,2
24,133300,rent,6.0,debtconsolidation,b,25000,10.37,0,0.19,n,2
24,15600,own,5.0,homeimprovement,a,3300,6.39,1,0.21,n,4
24,134000,rent,8.0,personal,d,25000,16.07,0,0.19,y,3
25,134000,rent,7.0,medical,b,25000,10.62,0,0.19,n,2
25,15600,own,0.0,venture,f,3200,18.09,1,0.21,n,2
25,135000,rent,5.0,education,b,25000,11.36,0,0.19,n,4
26,135660,rent,10.0,debtconsolidation,b,25000,12.53,0,0.18,n,4
25,145000,rent,0.0,education,b,25000,9.99,0,0.17,n,4
23,150000,rent,4.0,education,b,25000,10.36,0,0.17,n,3
23,165000,mortgage,3.0,education,a,9600,5.99,0,0.06,n,3
22,153000,mortgage,5.0,debtconsolidation,d,24000,15.62,1,0.16,y,2
24,165000,mortgage,5.0,personal,b,20000,10.37,0,0.12,n,4
25,165000,mortgage,0.0,homeimprovement,f,25000,19.74,0,0.15,n,4
21,165000,mortgage,5.0,education,a,20000,6.91,0,0.12,n,4
23,16000,own,7.0,medical,a,6000,7.9,1,0.38,n,2
23,16000,mortgage,3.0,debtconsolidation,c,2275,13.06,0,0.14,y,4
23,16000,own,7.0,personal,a,2000,6.39,0,0.13,n,3
23,148000,rent,1.0,debtconsolidation,e,25000,14.93,1,0.17,n,3
23,16000,mortgage,1.0,medical,c,5600,12.84,1,0.35,n,4
24,16020,own,3.0,venture,e,3625,17.14,1,0.23,y,2
22,16094,mortgage,2.0,venture,a,5500,7.14,1,0.34,n,3
25,175000,rent,2.0,personal,a,25000,8.9,0,0.14,n,2
22,16200,own,6.0,personal,b,2000,12.42,0,0.12,n,3
24,185000,rent,7.0,homeimprovement,c,25000,12.68,0,0.14,y,2
25,162000,rent,9.0,personal,c,25000,11.03,0,0.15,n,2
26,161000,rent,10.0,venture,a,30000,7.9,0,0.19,n,4
22,160000,mortgage,0.0,medical,b,35000,10.65,0,0.22,n,4
25,225000,rent,5.0,venture,b,25000,11.86,0,0.11,n,4
25,16400,own,1.0,personal,a,5000,8.94,1,0.3,n,4
23,16500,own,6.0,venture,b,4375,9.63,1,0.27,n,4
25,49500,rent,6.0,personal,c,24750,14.22,1,0.5,n,3
23,60000,rent,4.0,debtconsolidation,b,24750,9.33,1,0.41,n,3
24,84200,rent,8.0,medical,c,24500,13.85,0,0.29,n,4
22,16800,mortgage,5.0,education,b,2000,10.65,0,0.12,n,2
24,92000,rent,8.0,medical,b,24500,11.46,0,0.27,n,4
23,160000,mortgage,5.0,personal,a,35000,7.66,0,0.22,n,2
24,160000,mortgage,9.0,venture,e,12000,16.77,0,0.07,n,4
25,160000,mortgage,1.0,personal,b,12000,9.63,0,0.07,n,4
26,160000,rent,6.0,personal,c,25000,12.23,0,0.16,y,4
25,125800,mortgage,0.0,medical,d,10000,14.09,1,0.07,n,4
25,54000,rent,2.0,personal,c,24250,13.98,1,0.45,n,4
23,62500,rent,1.0,education,b,24250,10.62,1,0.39,n,4
24,16800,mortgage,4.0,debtconsolidation,a,3900,10.99,1,0.23,n,3
25,68400,rent,9.0,personal,e,24250,17.56,1,0.35,n,4
26,56045,rent,1.0,medical,d,24250,14.96,1,0.37,n,2
22,74000,rent,7.0,debtconsolidation,d,24250,15.65,1,0.33,y,2
24,65453,rent,9.0,medical,d,24250,15.7,1,0.31,n,2
24,89908,rent,1.0,venture,b,24250,12.53,0,0.27,n,3
26,78000,rent,0.0,homeimprovement,e,24250,17.56,1,0.31,y,3
23,100000,rent,0.0,personal,c,24250,12.87,0,0.24,y,2
23,103000,rent,6.0,personal,d,24250,15.7,0,0.24,n,2
25,160000,mortgage,2.0,education,a,9000,10.99,0,0.06,n,3
25,160000,own,5.0,venture,b,15000,11.14,0,0.09,n,4
24,160000,mortgage,3.0,venture,d,20000,16.0,0,0.13,n,3
23,160000,mortgage,2.0,education,d,25000,15.65,0,0.16,y,2
26,160000,mortgage,0.0,debtconsolidation,c,13750,10.99,0,0.09,n,4
21,160000,mortgage,3.0,venture,d,15250,15.31,0,0.1,y,4
25,160000,mortgage,3.0,venture,c,20000,13.47,0,0.13,y,2
